sheet_country;alphanumiso;country
Qatar;QAT634;Qatar
Rep Congo;COG178;Rep Congo
Reunion;REU638;Reunion
Romania;ROU642;Romania
Russia;RUS643;Russian Federation
Russian Federation;RUS643;Russian Federation
Rwanda;RWA646;Rwanda
Saint Helena;SHN654;Saint Helena
Saint Kitts and Nevis;KNA659;Saint Kitts and Nevis
Saint Lucia;LCA662;Saint Lucia
Saint Pierre and Miquelon;SPM666;Saint Pierre and Miquelon
Saint Vincent/Grenadines;VCT670;Saint Vincent/Grenadines
Samoa;WSM882;Samoa
San Marino;SMR674;San Marino
Sao Tome and Principe;STP678;Sao Tome and Principe
Saudi Arabia;SAU682;Saudi Arabia
Senegal;SEN686;Senegal
Serbia;SRB688;Serbia
Serbia (and Montenegro);SCG891;Serbia (and Montenegro)
Seychelles;SYC690;Seychelles
Sierra Leone;SLE694;Sierra Leone
Singapore;SGP702;Singapore
Slovakia;SVK703;Slovakia
Slovak Republic;SVK703;Slovakia
Slovenia;SVN705;Slovenia
Solomon Islands;SLB090;Solomon Islands
Somalia;SOM706;Somalia
South Africa;ZAF710;South Africa
South Korea;KOR410;South Korea
South Sudan;SSD728;South Sudan
South Yemen;YMD720;South Yemen
Spain;ESP724;Spain
Sri Lanka;LKA144;Sri Lanka
Sudan;SDN729;Sudan
Sudan (Former);SDN736;Sudan (Former)
Suriname;SUR740;Suriname
Swaziland;SWZ748;Swaziland
Sweden;SWE752;Sweden
Switzerland;CHE756;Switzerland
Syria;SYR760;Syria
Taiwan;TWN158;Taiwan
Tajikistan;TJK762;Tajikistan
Tanzania;TZA834;Tanzania
Thailand;THA764;Thailand
Timor-Leste;TLS626;Timor-Leste
Togo;TGO768;Togo
Tokelau;TKL772;Tokelau
Tonga;TON776;Tonga
Trinidad and Tobago;TTO780;Trinidad and Tobago
Tunisia;TUN788;Tunisia
Turkey;TUR792;Turkey
Turkmenistan;TKM795;Turkmenistan
Turks and Caicos Islands;TCA796;Turks and Caicos Islands
Tuvalu;TUV798;Tuvalu
Uganda;UGA800;Uganda
Ukraine;UKR804;Ukraine
United Arab Emirates;ARE784;United Arab Emirates
United Kingdom;GBR826;United Kingdom
United States;USA840;United States of America
United States of America;USA840;United States of America
Uruguay;URY858;Uruguay
US Virgin Islands;VIR850;US Virgin Islands
USSR;SUN810;USSR
Uzbekistan;UZB860;Uzbekistan
Vanuatu;VUT548;Vanuatu
Venezuela;VEN862;Venezuela
Viet Nam;VNM704;Viet Nam
Wallis and Futuna Islands;WLF876;Wallis and Futuna Islands
West Germany;DEU280;West Germany
Western Sahara;ESH732;Western Sahara
Yemen;YEM887;Yemen
Yugoslavia SFR;YUG890;Yugoslavia SFR
Zambia;ZMB894;Zambia
Zimbabwe;ZWE716;Zimbabwe
