source_id;source;source_url
det_1365;Evolution Mining Website (Red Lake);https://evolutionmining.com.au/red-lake/
det_1366;Equinox Gold Website (Los Filos Overview);https://www.equinoxgold.com/operations/operating-mines/los-filos/#overview
det_1367;Coldcorp Inc. (2015) Annual Report 2014;https://www.extractiveshub.org/servefile/getFile/id/5311
det_1368;"Coldcorp Inc. (2007) Annual Report 2006 ; Coldcorp Inc. (2019) Annual Report 2018";"https://www.sec.gov/Archives/edgar/data/919239/000094523407000193/o35525exv99w2.htm ; https://www.newmont.com/files/doc_financials/mda/annual/12.31.2018-MD-A-and-Financial-Statements.pdf"
det_1369;Coldcorp Inc. (2009) Annual Report 2008;https://www.sec.gov/Archives/edgar/data/919239/000094523409000065/o54181exv99w2.htm
det_1370;Coldcorp Inc. (2007) Annual Report 2006;https://www.sec.gov/Archives/edgar/data/919239/000094523407000193/o35525exv99w2.htm
det_1371;Vale S.A. (2020) Annual Report 2019;http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/Vale%2020-F%202019_i.pdf
det_1372;Vale S.A. (2017) Annual Report 2016;http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/Vale_20-F_FY2016_-_i.pdf
det_1373;Vale S.A. (2011) Annual Report 2010;http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/20F_2010_i.pdf
det_1374;Vale S.A. (2014) Annual Report 2013;http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/20F_2013_i.pdf
det_1375;Inco Limited (2004) Annual Report 2003;https://www.sec.gov/Archives/edgar/data/49996/000090956704000367/t12234e10vk.htm#125
det_1376;Norsk Hydro Website (Alunorte);https://www.hydro.com/en/about-hydro/hydro-worldwide/south-america/brazil/barcarena/alunorte/
det_1377;Companhia Vale Do Rio Doce (2008) Annual Report 2007;http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/20F_2007_i.pdf
