source_cat;source_material;material_id
detailed;Lead;Me.Pb
detailed;Lead alloys;All.Pb
detailed;Lead concentrate;Con.Pb
detailed;Lead Primary;Me.Pb
detailed;Lead Secondary;
detailed;Lead Secondary raw materials;
detailed;Lead/bismuth;
detailed;Limonite Ore;O.Fe
detailed;Liquid sulphur dioxide;Nm.SO2
detailed;Low grade Sulphide;O.bulk
detailed;Magnetite concentrate;Con.Fe
detailed;Manganese;Me.Mn
detailed;Manganese alloys;All.Mn
detailed;Manganese ore;O.Mn
detailed;Manganese Ore;O.Mn
detailed;Manganeses ore;O.Mn
detailed;Marginal copper ore;O.Cu
detailed;Marginal Copper ore;O.Cu
detailed;Marginal ore;O.bulk
detailed;Mercury;Me.Hg
detailed;Metallurgic bituminous coal;F.coc
detailed;Mg;Me.Mg
detailed;Mixed ore;O.bulk
detailed;Mixed Ore;O.bulk
detailed;Molybdenum;Me.Mo
detailed;Molybdenum concentrate;Con.Mo
detailed;Nepheline ore;M.nep
detailed;Ni;Me.Ni
detailed;Nickel;Me.Ni
detailed;Nickel and Manganese ore;O.Ni
detailed;Nickel concentrate;Con.Ni
detailed;Nickel in matte;Me.Ni
detailed;Nickel ore;O.Ni
detailed;Niobium;Me.Nb
detailed;Niobium ore;O.Nb
detailed;Non-primary Sulphide Ore;O.bulk
detailed;Oxide;O.bulk
detailed;Oxide ore;O.bulk
detailed;Oxide Ore;O.bulk
detailed;Palladium;Me.Pd
detailed;Palladium concentrate;Con.Pd
detailed;Pb;Me.Pb
detailed;Pb concentrate;Con.Pb
detailed;Pd;Me.Pd
detailed;PGM;Me.pgm
detailed;PGM concentrate;Con.pgm
detailed;PGM ore;O.pgm
detailed;4e PGM ore;O.pgm
detailed;6e PGM ore;O.pgm
detailed;Phosphate;Nm.PO
detailed;Phosphates;Nm.PO
detailed;Pig Iron;Oth.pig
detailed;Platinum;Me.Pt
detailed;Polymetallic Ore;O.bulk
detailed;Primary Sulphide Ore;O.bulk
detailed;Pt;Me.Pt
detailed;Pyrite;O.FeS
detailed;Refractory ore;
detailed;Rhodium;Me.Rh
detailed;Ruthenium;Me.Ru
detailed;Rutile;O.TiO
detailed;S;Nm.S
detailed;Sands;
detailed;Saprolite;O.bulk
detailed;Saprolite Ore;O.bulk
detailed;Selenium;Me.Se
detailed;Silica;Nm.SiO2
detailed;Silver;Me.Ag
detailed;Silver in concentrate;Con.Ag
detailed;Silver ore;O.Ag
detailed;Sodium tripolyphosphate;Me.Na_nec
detailed;Sulfide;O.bulk
detailed;Sulfuric acid;Nm.H2SO4
detailed;Sulphide;O.bulk
detailed;Sulphide ore;O.bulk
detailed;Sulphide Ore;O.bulk
detailed;Sulphur;Nm.S
detailed;Sulphuric acid;Nm.H2SO4
detailed;Suphide ore;O.bulk
detailed;Tailings;
detailed;TCu;
detailed;Te;Me.Te
detailed;Thermal bituminous coal;F.sbc
detailed;Tin alloys;All.Sn
detailed;Titanium dioxide slag;Me.TiO2
detailed;Tungsten Trioxide;Me.WO3
detailed;Uranium;Me.U
detailed;Zinc;Me.Zn
detailed;Zinc anode;Me.Zn
detailed;Zinc clinker;
detailed;Zinc concentrate;Con.Zn
detailed;Zinc Concentrate;Con.Zn
detailed;Zinc concentrate (incl. zinc clinker);Con.Zn
detailed;Zinc metal;Me.Zn
detailed;Zinc of which reprocessed zinc;
