source_cat;source_country;alphanumiso;country
detailed;Mongolia;MNG496;Mongolia
detailed;Montenegro;MNE499;Montenegro
detailed;Montserrat;MSR500;Montserrat
detailed;Morocco;MAR504;Morocco
detailed;Mozambique;MOZ508;Mozambique
detailed;Myanmar;MMR104;Myanmar
detailed;Namibia;NAM516;Namibia
detailed;Nauru;NRU520;Nauru
detailed;Nepal;NPL524;Nepal
detailed;Netherlands;NLD528;Netherlands
detailed;Netherlands Antilles;ANT530;Netherlands Antilles
detailed;New Caledonia;NCL540;New Caledonia
detailed;New Zealand;NZL554;New Zealand
detailed;Nicaragua;NIC558;Nicaragua
detailed;Niger;NER562;Niger
detailed;Nigeria;NGA566;Nigeria
detailed;Niue;NIU570;Niue
detailed;Norfolk Island;NFK574;Norfolk Island
detailed;North Korea;PRK408;North Korea
detailed;North Yemen;YEM886;North Yemen
detailed;Northern Mariana Islands;MNP580;Northern Mariana Islands
detailed;Norway;NOR578;Norway
detailed;Oman;OMN512;Oman
detailed;Pakistan;PAK586;Pakistan
detailed;Palau;PLW585;Palau
detailed;Palestine;PSE275;Palestine
detailed;Panama;PAN591;Panama
detailed;Papua New Guinea;PNG598;Papua New Guinea
detailed;Paraguay;PRY600;Paraguay
detailed;Peru;PER604;Peru
detailed;Philippines;PHL608;Philippines
detailed;Pitcairn Islands;PCN612;Pitcairn Islands
detailed;Poland;POL616;Poland
detailed;Portugal;PRT620;Portugal
detailed;Puerto Rico;PRI630;Puerto Rico
detailed;Qatar;QAT634;Qatar
detailed;Rep Congo;COG178;Rep Congo
detailed;Reunion;REU638;Reunion
detailed;Romania;ROU642;Romania
detailed;Russia;RUS643;Russian Federation
detailed;Russian Federation;RUS643;Russian Federation
detailed;Rwanda;RWA646;Rwanda
detailed;Saint Helena;SHN654;Saint Helena
detailed;Saint Kitts and Nevis;KNA659;Saint Kitts and Nevis
detailed;Saint Lucia;LCA662;Saint Lucia
detailed;Saint Pierre and Miquelon;SPM666;Saint Pierre and Miquelon
detailed;Saint Vincent/Grenadines;VCT670;Saint Vincent/Grenadines
detailed;Samoa;WSM882;Samoa
detailed;San Marino;SMR674;San Marino
detailed;Sao Tome and Principe;STP678;Sao Tome and Principe
detailed;Saudi Arabia;SAU682;Saudi Arabia
detailed;Senegal;SEN686;Senegal
detailed;Serbia;SRB688;Serbia
detailed;Serbia (and Montenegro);SCG891;Serbia (and Montenegro)
detailed;Seychelles;SYC690;Seychelles
detailed;Sierra Leone;SLE694;Sierra Leone
detailed;Singapore;SGP702;Singapore
detailed;Slovakia;SVK703;Slovakia
detailed;Slovak Republic;SVK703;Slovakia
detailed;Slovenia;SVN705;Slovenia
detailed;Solomon Islands;SLB090;Solomon Islands
detailed;Somalia;SOM706;Somalia
detailed;South Africa;ZAF710;South Africa
detailed;South Korea;KOR410;South Korea
detailed;South Sudan;SSD728;South Sudan
detailed;South Yemen;YMD720;South Yemen
detailed;Spain;ESP724;Spain
detailed;Sri Lanka;LKA144;Sri Lanka
detailed;Sudan;SDN729;Sudan
detailed;Sudan (Former);SDN736;Sudan (Former)
detailed;Suriname;SUR740;Suriname
detailed;Swaziland;SWZ748;Swaziland
detailed;Sweden;SWE752;Sweden
detailed;Switzerland;CHE756;Switzerland
detailed;Syria;SYR760;Syria
detailed;Taiwan;TWN158;Taiwan
detailed;Tajikistan;TJK762;Tajikistan
detailed;Tanzania;TZA834;Tanzania
detailed;Thailand;THA764;Thailand
detailed;Timor-Leste;TLS626;Timor-Leste
detailed;Togo;TGO768;Togo
detailed;Tokelau;TKL772;Tokelau
detailed;Tonga;TON776;Tonga
detailed;Trinidad and Tobago;TTO780;Trinidad and Tobago
detailed;Tunisia;TUN788;Tunisia
detailed;Turkey;TUR792;Turkey
detailed;Turkmenistan;TKM795;Turkmenistan
detailed;Turks and Caicos Islands;TCA796;Turks and Caicos Islands
detailed;Tuvalu;TUV798;Tuvalu
detailed;Uganda;UGA800;Uganda
detailed;Ukraine;UKR804;Ukraine
detailed;United Arab Emirates;ARE784;United Arab Emirates
detailed;United Kingdom;GBR826;United Kingdom
detailed;United States;USA840;United States of America
detailed;United States of America;USA840;United States of America
detailed;Uruguay;URY858;Uruguay
detailed;US Virgin Islands;VIR850;US Virgin Islands
detailed;USSR;SUN810;USSR
detailed;Uzbekistan;UZB860;Uzbekistan
detailed;Vanuatu;VUT548;Vanuatu
detailed;Venezuela;VEN862;Venezuela
detailed;Viet Nam;VNM704;Viet Nam
detailed;Wallis and Futuna Islands;WLF876;Wallis and Futuna Islands
detailed;West Germany;DEU280;West Germany
detailed;Western Sahara;ESH732;Western Sahara
detailed;Yemen;YEM887;Yemen
detailed;Yugoslavia SFR;YUG890;Yugoslavia SFR
detailed;Zambia;ZMB894;Zambia
detailed;Zimbabwe;ZWE716;Zimbabwe
snl;Dem. Rep. Congo;COD180;DR Congo
