source;source_country_id;alphanumiso
ISO_Numeric;748;SWZ748
ISO_Numeric;796;TCA796
ISO_Numeric;148;TCD148
ISO_Numeric;768;TGO768
ISO_Numeric;764;THA764
ISO_Numeric;762;TJK762
ISO_Numeric;772;TKL772
ISO_Numeric;626;TLS626
ISO_Numeric;795;TKM795
ISO_Numeric;788;TUN788
ISO_Numeric;776;TON776
ISO_Numeric;792;TUR792
ISO_Numeric;780;TTO780
ISO_Numeric;798;TUV798
ISO_Numeric;158;TWN158
ISO_Numeric;834;TZA834
ISO_Numeric;804;UKR804
ISO_Numeric;800;UGA800
ISO_Numeric;840;USA840
ISO_Numeric;858;URY858
ISO_Numeric;860;UZB860
ISO_Numeric;670;VCT670
ISO_Numeric;862;VEN862
ISO_Numeric;92;VGB092
ISO_Numeric;850;VIR850
ISO_Numeric;704;VNM704
ISO_Numeric;548;VUT548
ISO_Numeric;876;WLF876
ISO_Numeric;882;WSM882
ISO_Numeric;887;YEM887
ISO_Numeric;886;YEM886
ISO_Numeric;720;YMD720
ISO_Numeric;175;MYT175
ISO_Numeric;890;YUG890
ISO_Numeric;710;ZAF710
ISO_Numeric;894;ZMB894
ISO_Numeric;716;ZWE716
ISO_Numeric;531;CUW531
ISO_Numeric;344;HKG344
ISO_Numeric;499;MNE499
ISO_Numeric;891;SCG891
ISO_Numeric;446;MAC446
ISO_Numeric;492;MCO492
ISO_Numeric;732;ESH732
ISO_Numeric;535;BES535
ISO_Numeric;20;AND020
ISO_CountryName;United Arab Emirates (the);ARE784
ISO_CountryName;Afghanistan;AFG004
ISO_CountryName;Antigua and Barbuda;ATG028
ISO_CountryName;Anguilla;AIA660
ISO_CountryName;Albania;ALB008
ISO_CountryName;Armenia;ARM051
ISO_CountryName;Netherlands Antilles;ANT530
ISO_CountryName;Angola;AGO024
ISO_CountryName;Argentina;ARG032
ISO_CountryName;American Samoa;ASM016
ISO_CountryName;Austria;AUT040
ISO_CountryName;Australia;AUS036
ISO_CountryName;Aruba;ABW533
ISO_CountryName;Azerbaijan;AZE031
ISO_CountryName;Bosnia and Herzegovina;BIH070
ISO_CountryName;Barbados;BRB052
ISO_CountryName;Bangladesh;BGD050
ISO_CountryName;Belgium;BEL056
ISO_CountryName;Burkina Faso;BFA854
ISO_CountryName;Bulgaria;BGR100
ISO_CountryName;Bahrain;BHR048
ISO_CountryName;Burundi;BDI108
ISO_CountryName;Benin;BEN204
ISO_CountryName;Bermuda;BMU060
ISO_CountryName;Brunei Darussalam;BRN096
ISO_CountryName;Bolivia (Plurinational State of);BOL068
ISO_CountryName;Brazil;BRA076
ISO_CountryName;Bahamas (the);BHS044
ISO_CountryName;Bhutan;BTN064
ISO_CountryName;Botswana;BWA072
ISO_CountryName;Belarus;BLR112
ISO_CountryName;Belize;BLZ084
ISO_CountryName;Canada;CAN124
ISO_CountryName;Cocos (Keeling) Islands (the);CCK166
ISO_CountryName;Congo (the Democratic Republic of the);COD180
ISO_CountryName;Central African Republic (the);CAF140
ISO_CountryName;Congo (the);COG178
ISO_CountryName;Switzerland;CHE756
ISO_CountryName;C么te d'Ivoire;CIV384
ISO_CountryName;Cook Islands (the);COK184
ISO_CountryName;Chile;CHL152
ISO_CountryName;Cameroon;CMR120
ISO_CountryName;China;CHN156
ISO_CountryName;Colombia;COL170
ISO_CountryName;Costa Rica;CRI188
ISO_CountryName;Czechoslovakia;CSK200
ISO_CountryName;Cuba;CUB192
ISO_CountryName;Cabo Verde;CPV132
ISO_CountryName;Christmas Island;CXR162
ISO_CountryName;Cyprus;CYP196
ISO_CountryName;Czech Republic (the);CZE203
ISO_CountryName;Germany;DEU276
ISO_CountryName;Djibouti;DJI262
ISO_CountryName;Denmark;DNK208
ISO_CountryName;Dominica;DMA212
ISO_CountryName;Dominican Republic (the);DOM214
ISO_CountryName;Algeria;DZA012
ISO_CountryName;Ecuador;ECU218
ISO_CountryName;Estonia;EST233
ISO_CountryName;Egypt;EGY818
ISO_CountryName;Eritrea;ERI232
ISO_CountryName;Spain;ESP724
ISO_CountryName;Ethiopia;ETH231
ISO_CountryName;Ethiopia;ETH230
ISO_CountryName;Finland;FIN246
ISO_CountryName;Fiji;FJI242
ISO_CountryName;Falkland Islands (the) [Malvinas];FLK238
ISO_CountryName;Micronesia (Federated States of);FSM583
ISO_CountryName;Faroe Islands (the);FRO234
ISO_CountryName;France;FRA250
ISO_CountryName;Gabon;GAB266
ISO_CountryName;United Kingdom of Great Britain and Northern Ireland (the);GBR826
ISO_CountryName;Grenada;GRD308
ISO_CountryName;Georgia;GEO268
ISO_CountryName;French Guiana;GUF254
ISO_CountryName;Ghana;GHA288
ISO_CountryName;Gibraltar;GIB292
ISO_CountryName;Greenland;GRL304
ISO_CountryName;Gambia (the);GMB270
ISO_CountryName;Guinea;GIN324
ISO_CountryName;Guadeloupe;GLP312
ISO_CountryName;Equatorial Guinea;GNQ226
ISO_CountryName;Greece;GRC300
ISO_CountryName;Guatemala;GTM320
ISO_CountryName;Guam;GUM316
ISO_CountryName;Guinea-Bissau;GNB624
ISO_CountryName;Guyana;GUY328
ISO_CountryName;Honduras;HND340
ISO_CountryName;Croatia;HRV191
ISO_CountryName;Haiti;HTI332
ISO_CountryName;Hungary;HUN348
ISO_CountryName;Indonesia;IDN360
ISO_CountryName;Ireland;IRL372
ISO_CountryName;Israel;ISR376
ISO_CountryName;India;IND356
ISO_CountryName;British Indian Ocean Territory (the);IOT086
ISO_CountryName;Iraq;IRQ368
ISO_CountryName;Iran (Islamic Republic of);IRN364
ISO_CountryName;Iceland;ISL352
ISO_CountryName;Italy;ITA380
ISO_CountryName;Jamaica;JAM388
ISO_CountryName;Jordan;JOR400
ISO_CountryName;Japan;JPN392
ISO_CountryName;Kenya;KEN404
ISO_CountryName;Kyrgyzstan;KGZ417
ISO_CountryName;Cambodia;KHM116
ISO_CountryName;Kiribati;KIR296
ISO_CountryName;Comoros (the);COM174
ISO_CountryName;Saint Kitts and Nevis;KNA659
ISO_CountryName;Korea (the Democratic People's Republic of);PRK408
ISO_CountryName;Korea (the Republic of);KOR410
ISO_CountryName;Kuwait;KWT414
ISO_CountryName;Cayman Islands (the);CYM136
ISO_CountryName;Kazakhstan;KAZ398
ISO_CountryName;Lao People's Democratic Republic (the);LAO418
ISO_CountryName;Lebanon;LBN422
ISO_CountryName;Saint Lucia;LCA662
ISO_CountryName;Liechtenstein;LIE438
ISO_CountryName;Sri Lanka;LKA144
ISO_CountryName;Liberia;LBR430
ISO_CountryName;Lesotho;LSO426
ISO_CountryName;Lithuania;LTU440
ISO_CountryName;Latvia;LVA428
ISO_CountryName;Luxembourg;LUX442
ISO_CountryName;Libya;LBY434
ISO_CountryName;Morocco;MAR504
ISO_CountryName;Moldova (the Republic of);MDA498
ISO_CountryName;Madagascar;MDG450
ISO_CountryName;Marshall Islands (the);MHL584
ISO_CountryName;North Macedonia;MKD807
ISO_CountryName;Mali;MLI466
ISO_CountryName;Myanmar;MMR104
ISO_CountryName;Mongolia;MNG496
ISO_CountryName;Northern Mariana Islands (the);MNP580
ISO_CountryName;Martinique;MTQ474
ISO_CountryName;Mauritania;MRT478
ISO_CountryName;Montserrat;MSR500
ISO_CountryName;Malta;MLT470
ISO_CountryName;Mauritius;MUS480
ISO_CountryName;Maldives;MDV462
ISO_CountryName;Malawi;MWI454
ISO_CountryName;Mexico;MEX484
ISO_CountryName;Malaysia;MYS458
ISO_CountryName;Mozambique;MOZ508
ISO_CountryName;Namibia;NAM516
ISO_CountryName;New Caledonia;NCL540
ISO_CountryName;Niger (the);NER562
ISO_CountryName;Norfolk Island;NFK574
ISO_CountryName;Nigeria;NGA566
ISO_CountryName;Nicaragua;NIC558
ISO_CountryName;Netherlands (the);NLD528
ISO_CountryName;Norway;NOR578
ISO_CountryName;Nepal;NPL524
ISO_CountryName;Nauru;NRU520
ISO_CountryName;Niue;NIU570
ISO_CountryName;New Zealand;NZL554
ISO_CountryName;Oman;OMN512
ISO_CountryName;Panama;PAN591
ISO_CountryName;Peru;PER604
ISO_CountryName;French Polynesia;PYF258
ISO_CountryName;Papua New Guinea;PNG598
ISO_CountryName;Philippines (the);PHL608
ISO_CountryName;Pakistan;PAK586
ISO_CountryName;Poland;POL616
ISO_CountryName;Saint Pierre and Miquelon;SPM666
ISO_CountryName;Pitcairn;PCN612
ISO_CountryName;Puerto Rico;PRI630
ISO_CountryName;Palestine, State of;PSE275
ISO_CountryName;Portugal;PRT620
ISO_CountryName;Palau;PLW585
ISO_CountryName;Paraguay;PRY600
ISO_CountryName;Qatar;QAT634
ISO_CountryName;R茅union;REU638
ISO_CountryName;Romania;ROU642
ISO_CountryName;Serbia;SRB688
ISO_CountryName;Russian Federation (the);RUS643
ISO_CountryName;Rwanda;RWA646
ISO_CountryName;Saudi Arabia;SAU682
ISO_CountryName;Solomon Islands;SLB090
ISO_CountryName;Seychelles;SYC690
ISO_CountryName;Sudan (the);SDN729
ISO_CountryName;Sweden;SWE752
ISO_CountryName;Singapore;SGP702
ISO_CountryName;Saint Helena, Ascension and Tristan da Cunha;SHN654
ISO_CountryName;Slovenia;SVN705
ISO_CountryName;Slovakia;SVK703
ISO_CountryName;Sierra Leone;SLE694
ISO_CountryName;San Marino;SMR674
ISO_CountryName;Senegal;SEN686
ISO_CountryName;Somalia;SOM706
ISO_CountryName;Suriname;SUR740
ISO_CountryName;South Sudan;SSD728
ISO_CountryName;Sao Tome and Principe;STP678
ISO_CountryName;USSR;SUN810
ISO_CountryName;El Salvador;SLV222
ISO_CountryName;Syrian Arab Republic;SYR760
ISO_CountryName;Swaziland;SWZ748
ISO_CountryName;Turks and Caicos Islands (the);TCA796
ISO_CountryName;Chad;TCD148
ISO_CountryName;Togo;TGO768
ISO_CountryName;Thailand;THA764
ISO_CountryName;Tajikistan;TJK762
ISO_CountryName;Tokelau;TKL772
ISO_CountryName;Timor-Leste;TLS626
ISO_CountryName;Turkmenistan;TKM795
ISO_CountryName;Tunisia;TUN788
ISO_CountryName;Tonga;TON776
ISO_CountryName;Turkey;TUR792
ISO_CountryName;Trinidad and Tobago;TTO780
ISO_CountryName;Tuvalu;TUV798
ISO_CountryName;Taiwan (Province of China);TWN158
ISO_CountryName;Tanzania, United Republic of;TZA834
ISO_CountryName;Ukraine;UKR804
ISO_CountryName;Uganda;UGA800
ISO_CountryName;United States of America (the);USA840
ISO_CountryName;Uruguay;URY858
ISO_CountryName;Uzbekistan;UZB860
ISO_CountryName;Saint Vincent and the Grenadines;VCT670
ISO_CountryName;Venezuela (Bolivarian Republic of);VEN862
ISO_CountryName;Virgin Islands (British);VGB092
ISO_CountryName;Virgin Islands (U.S.);VIR850
ISO_CountryName;Viet Nam;VNM704
ISO_CountryName;Vanuatu;VUT548
ISO_CountryName;Wallis and Futuna;WLF876
ISO_CountryName;Samoa;WSM882
ISO_CountryName;Yemen;YEM887
ISO_CountryName;Mayotte;MYT175
ISO_CountryName;Yugoslavia;YUG890
ISO_CountryName;South Africa;ZAF710
ISO_CountryName;Zambia;ZMB894
ISO_CountryName;Zimbabwe;ZWE716
ISO_CountryName;Cura莽ao;CUW531
ISO_CountryName;Hong Kong;HKG344
ISO_CountryName;Montenegro;MNE499
ISO_CountryName;Serbia and Montenegro;SCG891
ISO_CountryName;Kosovo;UNK000
ISO_CountryName;Macao;MAC446
ISO_CountryName;Western Sahara;ESH732
ISO_CountryName;Southern Rhodesia;ZWE716
IEA_Name;United Arab Emirates;ARE784
IEA_Name;Albania;ALB008
IEA_Name;Armenia;ARM051
IEA_Name;Netherlands Antilles;ANT530
IEA_Name;Angola;AGO024
IEA_Name;Argentina;ARG032
IEA_Name;Austria;AUT040
IEA_Name;Australia;AUS036
IEA_Name;Azerbaijan;AZE031
IEA_Name;Bosnia and Herzegovina;BIH070
IEA_Name;Bangladesh;BGD050
IEA_Name;Belgium;BEL056
IEA_Name;Bulgaria;BGR100
IEA_Name;Bahrain;BHR048
IEA_Name;Benin;BEN204
IEA_Name;Brunei Darussalam;BRN096
IEA_Name;Bolivia;BOL068
IEA_Name;Brazil;BRA076
IEA_Name;Botswana;BWA072
IEA_Name;Belarus;BLR112
IEA_Name;Canada;CAN124
IEA_Name;Democratic Republic of the Congo;COD180
IEA_Name;Congo;COG178
IEA_Name;Switzerland;CHE756
IEA_Name;C么te d'Ivoire;CIV384
IEA_Name;Chile;CHL152
