minem_file_name
ARSENICO
BISMUTO
CADMIO
CARBON
COBRE
ESTA%C3%91O
ESTAÑO
HIERRO
MANGANESO
MOLIBDENO
NO-METALICOS
ORO
PLATA
PLOMO
TUNGSTENO
ZINC
