mine_fac;sub_site;min_ore_con;type_mining;year;mine_processing
Batu Hijau;NA;O.Au;NA;2012;NA
Batu Hijau;NA;O.Au;NA;2011;NA
Batu Hijau;NA;O.Au;NA;2010;NA
Batu Hijau;NA;O.Au;NA;2009;NA
Batu Hijau;NA;O.Au;NA;2008;NA
Batu Hijau;NA;O.Au;NA;2007;NA
Belousovsky;NA;O.bulk;NA;2009;NA
Bembele;NA;O.Mn;Open pit;2019;NA
Bembele;NA;O.Mn;Open pit;2018;NA
Bembele;NA;O.Mn;Open pit;2017;NA
Bembele;NA;Con.MnO;NA;2016;NA
Bembele;NA;O.Mn;Open pit;2016;NA
Bembele;NA;O.Mn;Open pit;2015;NA
Bembele;NA;O.Mn;Open pit;2014;NA
Bembele;NA;O.Mn;Open pit;2013;NA
Bembele;NA;O.Mn;Open pit;2012;NA
Bibiani;NA;O.Au;Open pit;2005;NA
Bibiani;NA;O.Au;Open pit;2004;NA
Birchtree;NA;O.Ni;NA;2019;NA
Birchtree;NA;O.Ni;NA;2018;NA
Black Mountain;Gamsberg;Con.Zn;Open pit;2019;NA
Black Mountain;Black Mountain;Con.Zn;Underground;2019;NA
Black Mountain;Black Mountain;Con.Pb;Underground;2019;NA
Black Mountain;Black Mountain;Con.Zn;Underground;2018;NA
Black Mountain;Black Mountain;Con.Pb;Underground;2018;NA
Black Mountain;Black Mountain;Con.Zn;Underground;2017;NA
Black Mountain;Black Mountain;Con.Pb;Underground;2017;NA
Black Mountain;Black Mountain;Con.Zn;Underground;2016;NA
Black Mountain;Black Mountain;Con.Pb;Underground;2016;NA
Black Mountain;Black Mountain;Con.Zn;Underground;2015;NA
Black Mountain;Black Mountain;Con.Pb;Underground;2015;NA
Black Mountain;Black Mountain;Con.Zn;Underground;2014;NA
Black Mountain;Black Mountain;Con.Pb;Underground;2014;NA
Black Mountain;Black Mountain;Con.Zn;Underground;2013;NA
Black Mountain;Black Mountain;Con.Pb;Underground;2013;NA
Black Mountain;Black Mountain;Con.Zn;Underground;2012;NA
Black Mountain;Black Mountain;Con.Pb;Underground;2012;NA
Black Mountain;Black Mountain;Con.Zn;Underground;2011;NA
Black Mountain;Black Mountain;Con.Pb;Underground;2011;NA
Black Mountain;Black Mountain;Con.Zn;Underground;2010;NA
Black Mountain;Black Mountain;Con.Pb;Underground;2010;NA
Bloom Lake;NA;O.Fe;NA;2020;NA
Bloom Lake;NA;O.Fe;NA;2019;NA
Bloom Lake;NA;Con.Fe;NA;2018;NA
Bloom Lake;NA;Con.Fe;NA;2014;NA
Bloom Lake;NA;Con.Fe;NA;2013;NA
Bonikro;NA;NA;NA;2017;NA
Bonikro;NA;NA;NA;2016;NA
Bonikro;NA;NA;NA;2015;NA
Bonikro;NA;NA;NA;2014;NA
Bonikro;NA;NA;NA;2013;NA
Bonikro;NA;NA;NA;2012;NA
Bozshakol;NA;O.Cu;Open pit;2018;NA
Bozshakol;NA;O.Cu;Open pit;2017;NA
Bozshakol;NA;O.Cu;Open pit;2016;NA
Bozshakol;NA;O.Cu;Open pit;2015;NA
Bozymchak;NA;O.Cu;NA;2018;NA
Bozymchak;NA;O.Cu;NA;2017;NA
Bozymchak;NA;O.Cu;NA;2016;NA
Bozymchak;NA;O.Cu;NA;2015;NA
Bozymchak;NA;O.Cu;NA;2014;NA
Broken Hill;NA;O.Ag;NA;2008;NA
Broken Hill;NA;O.Ag;NA;2007;NA
Broken Hill;NA;O.Ag;NA;2006;NA
Buenavista;NA;O.bulk;Open pit;2019;NA
Buenavista;NA;O.bulk;Open pit;2018;NA
Buenavista;NA;O.bulk;Open pit;2017;NA
Buenavista;NA;O.bulk;Open pit;2016;NA
Buenavista;NA;O.bulk;Open pit;2015;NA
Buenavista;NA;O.bulk;Open pit;2014;NA
Buenavista;NA;O.bulk;Open pit;2013;NA
Buenavista;NA;O.bulk;Open pit;2012;NA
Buenavista;NA;O.bulk;Open pit;2011;NA
Buenavista;NA;O.bulk;Open pit;2010;NA
Buenavista;NA;O.bulk;Open pit;2009;NA
Buenavista;NA;O.bulk;Open pit;2008;NA
Buenavista;NA;O.bulk;Open pit;2007;NA
Buenavista;NA;O.bulk;Open pit;2006;NA
Buenavista;NA;O.bulk;Open pit;2005;NA
Bystrinsky GOK;NA;Con.Fe;NA;2019;NA
Bystrinsky GOK;NA;Con.Fe;NA;2018;NA
Cadia;NA;NA;NA;2018;NA
Cadia;NA;NA;NA;2017;NA
Cadia;NA;NA;NA;2016;NA
Cadia;NA;NA;NA;2012;NA
Cadia;Cadia Hill;NA;NA;2007;NA
Cadia;Ridgeway;NA;NA;2007;NA
Cadia;Cadia Hill;NA;NA;2006;NA
Cadia;Ridgeway;NA;NA;2006;NA
