mine_fac;match;n;mine_other_names;match.other_names;n.other_names;sub_site;match.sub_site;n.sub_site
Colstrip;;;Rosebud Mine;Rosebud Mine & Crusher/Conveyo;1;;;
Cordero Rojo;Cordero Rojo Mine;1;;;;;;
Corridor G;;;;;;Job 21;Hwm Job #21;12
Corridor G;;;;;;Job 21;Auger #35 Job 198;12
Corridor G;;;;;;Job 21;Job 21;12
Corridor G;;;;;;Job 21;Job 22;12
Corridor G;;;;;;Job 21;Job 17;12
Corridor G;;;;;;Job 21;Barger Branch Job #14;12
Corridor G;;;;;;Job 21;Mitco Job #12;12
Corridor G;;;;;;Job 21;Job -1;12
Corridor G;;;;;;Job 21;Bingham Job #13;12
Corridor G;;;;;;Job 21;Job 51;12
Corridor G;;;;;;Job 21;Job 122 Two Lick;12
Corridor G;;;;;;Job 21;Job #15 Surface;12
Corridor G;;;;;;Hill Fork;Hill Fork Mine;1
Coyote Creek;Coyote Creek Mine;1;Coyote Creek Mining Company;;;;;
Darby;D-29 Darby Fork;7;Powell Mountain, Middle Splint;;;Darby Fork;D-29 Darby Fork;1
Darby;Darby # 3;7;Powell Mountain, Middle Splint;;;Darby Fork;D-29 Darby Fork;1
Darby;Vfc - Darty Gap;7;Powell Mountain, Middle Splint;;;Darby Fork;D-29 Darby Fork;1
Darby;Darby Mine No 1;7;Powell Mountain, Middle Splint;;;Darby Fork;D-29 Darby Fork;1
Darby;Putney Darby Mine #1;7;Powell Mountain, Middle Splint;;;Darby Fork;D-29 Darby Fork;1
Darby;Derby Wilson Mine;7;Powell Mountain, Middle Splint;;;Darby Fork;D-29 Darby Fork;1
Darby;Darby Road Mine #1;7;Powell Mountain, Middle Splint;;;Darby Fork;D-29 Darby Fork;1
Decker;Decker Mine;2;;;;;;
Decker;Becker/Bender;2;;;;;;
Dilworth;Dilworth;1;;;;;;
Dynamic Energy;;;;;;Job 30;Hwm Job #30;1
Eagle;Eagle;1;;;;;;
Eagle Pass;Eagle Pass Mine;1;Camino Real Fuels;;;;;
El Segundo/Lee Ranch;;;;;;El Segundo;El Segundo;1
El Segundo/Lee Ranch;;;;;;Lee Ranch;Lee Ranch Coal Mine;1
Emery;Montgomery Creek;4;;;;;;
Emery;Emerald Mine No 1;4;;;;;;
Emery;Emerald Anthracite;4;;;;;;
Emery;Emery Mine;4;;;;;;
Empire;Empire;1;;;;;;
Falkirk;Falkirk Mine;1;The Falkirk Mining Company;;;;;
Farmersburg;Farmersburg Mine;1;;;;;;
Federal;Federal Hill Mine;2;Federal No. 2;Federal No 2;1;;;
Federal;Federal No 2;2;Federal No. 2;Federal No 2;1;;;
Five Forks;Five Forks Mine;1;Demery Resources Company;;;;;
Flint Ridge;Flint Ridge Mine;2;;;;;;
Flint Ridge;Flint Ridge Mine #2;2;;;;;;
Francisco;Francisco Mine;2;;;;;;
Francisco;Francisco Underground Pit;2;;;;;;
Freedom;Freedom;1;;;;;;
Gary Works;;;Gary;Mary Lee # 1 Mine;20;;;
Gary Works;;;Gary;Gayosa;20;;;
Gary Works;;;Gary;Garland Mine;20;;;
Gary Works;;;Gary;Calvary No 81;20;;;
