country;alphanumiso;state;region;province;district;sector;location_municipality;GID_0;GID_1;GID_2;GID_3;GID_4
China;CHN156;Shanxi;NA;NA;Lvliang;NA;NA;CHN;CHN.25_1;CHN.25.6_1;NA;NA
China;CHN156;Shanxi;NA;NA;Lüliang;NA;Xiaoyi;CHN;CHN.25_1;CHN.25.6_1;CHN.25.6.11_1;NA
China;CHN156;Shanxi;NA;NA;Xing County;NA;Watangzhen;CHN;CHN.25_1;CHN.25.6_1;CHN.25.6.12_1;NA
China;CHN156;Shanxi;NA;NA;Yangquan;NA;NA;CHN;CHN.25_1;CHN.25.10_1;NA;NA
China;CHN156;Shanxi;NA;NA;NA;NA;NA;CHN;CHN.25_1;NA;NA;NA
China;CHN156;Sichuan;NA;NA;Chongqing;NA;NA;CHN;CHN.26_1;CHN.26.2_1;CHN.26.2.3_1;NA
China;CHN156;Xinjiang;NA;NA;Wuqia;NA;NA;CHN;CHN.28_1;CHN.28.11_1;CHN.28.11.4_1;NA
China;CHN156;Xinjiang;NA;NA;NA;NA;NA;CHN;CHN.28_1;NA;NA;NA
China;CHN156;Yunnan;NA;NA;Yuxi;NA;Huaning;CHN;CHN.30_1;CHN.30.15_1;CHN.30.15.3_1;NA
China;CHN156;NA;NA;NA;NA;NA;NA;CHN;NA;NA;NA;NA
Colombia;COL170;Antioquia;NA;NA;San Roque;NA;Providencia;COL;COL.2_1;COL.2.98_1;NA;NA
Colombia;COL170;Antioquia;NA;NA;San Roque;NA;San Jose del Nus;COL;COL.2_1;COL.2.98_1;NA;NA
Colombia;COL170;Antioquia;NA;NA;NA;NA;JericÃ³;COL;NA;NA;NA;NA
Colombia;COL170;Antioquia;NA;NA;NA;NA;Jericó;COL;COL.2_1;COL.2.61_1;NA;NA
France;FRA250;Occitanie;NA;NA;Hautes-PyrÃ©nÃ©es;NA;Lannemezan;FRA;NA;NA;NA;NA
France;FRA250;Occitanie;NA;NA;Hautes-Pyrénées;NA;Lannemezan;FRA;FRA.11_1;FRA.11.7_1;FRA.11.7.2_1;FRA.11.7.2.6_1
Gabon;GAB266;Moyen-Ogooue;NA;NA;NA;NA;Ndjole;GAB;GAB.3_1;GAB.3.1_1;NA;NA
Indonesia;IDN360;Kalimantan Tengah;NA;NA;East Barito Regency;NA;NA;IDN;IDN.14_1;IDN.14.2_1;NA;NA
Indonesia;IDN360;Kalimantan Tengah;NA;NA;North Barito Regency;NA;NA;IDN;IDN.14_1;IDN.14.3_1;NA;NA
Indonesia;IDN360;Kalimantan Timur;NA;NA;Berau Regency;NA;Gurimbang;IDN;IDN.15_1;IDN.15.2_1;IDN.15.2.8_1;IDN.15.2.8.3_1
