id,facility_id,facility_type,year,input,input_value_tonnes,output,output_value_tonnes,grade_ppm,recovery_rate,amount_sold_tonnes,metal_payable_tonnes,incl_purchased,reporting_period,source_id,comment
28,COM00010.00,Smelter,2014,,,Liquid steel,4422000,,,,,,,det_2435,
29,COM00010.00,Refinery,2015,Liquid steel,,Coated steel products,136000,,,,,,,det_2172,
30,COM00010.00,Refinery,2015,Coking coal,,Coke,1372000,,,,,,,det_2172,
31,COM00010.00,Refinery,2015,Liquid steel,,Flat steel products,3347000,,,,,,,det_2172,
32,COM00010.00,Refinery,2015,Iron ore concentrate,,Iron ore pellets,4700000,,,,,,,det_2172,
33,COM00010.00,Refinery,2015,Liquid steel,,Other finished steel products,68000,,,,,,,det_2172,
34,COM00010.00,Refinery,2015,Liquid steel,,Structural steel profiles and non-flat steel products,291000,,,,,,,det_2172,
35,COM00010.00,Smelter,2015,Pig Iron,,Liquid steel,4460000,,,,,,,det_2172,
36,COM00010.00,Smelter,2015,Scrap Iron,,Liquid steel,436000,,,,,,,det_2172,
37,COM00010.00,Smelter,2015,Iron ore pellets,,Pig Iron,3640000,,,,,,,det_2172,
38,COM00010.00,Refinery,2016,Liquid steel,,Coated steel products,147000,,,,,,,det_1974,
39,COM00010.00,Refinery,2016,Coking coal,,Coke,1262000,,,,,,,det_1974,
40,COM00010.00,Refinery,2016,Liquid steel,,Flat steel products,3612000,,,,,,,det_1974,
41,COM00010.00,Refinery,2016,Iron ore concentrate,,Iron ore pellets,4600000,,,,,,,det_1974,
42,COM00010.00,Refinery,2016,Liquid steel,,Other finished steel products,14000,,,,,,,det_1974,
43,COM00010.00,Refinery,2016,Liquid steel,,Structural steel profiles and non-flat steel products,398000,,,,,,,det_1974,
44,COM00010.00,Smelter,2016,Pig Iron,,Liquid steel,4650000,,,,,,,det_1974,
45,COM00010.00,Smelter,2016,Scrap Iron,,Liquid steel,670000,,,,,,,det_1974,
46,COM00010.00,Smelter,2016,Iron ore pellets,,Pig Iron,3690000,,,,,,,det_1974,
47,COM00010.00,Refinery,2017,Liquid steel,,Coated steel products,144000,,,,,,,det_1974,
48,COM00010.00,Refinery,2017,Coking coal,,Coke,1253000,,,,,,,det_1974,
49,COM00010.00,Refinery,2017,Liquid steel,,Flat steel products,3349000,,,,,,,det_1974,
50,COM00010.00,Refinery,2017,Iron ore concentrate,,Iron ore pellets,3700000,,,,,,,det_1974,
51,COM00010.00,Refinery,2017,Liquid steel,,Other finished steel products,10000,,,,,,,det_1974,
52,COM00010.00,Refinery,2017,Liquid steel,,Structural steel profiles and non-flat steel products,217000,,,,,,,det_1974,
53,COM00010.00,Smelter,2017,Pig Iron,,Liquid steel,4390000,,,,,,,det_1974,
54,COM00010.00,Smelter,2017,Scrap Iron,,Liquid steel,808000,,,,,,,det_1974,
55,COM00010.00,Smelter,2017,Iron ore pellets,,Pig Iron,3200000,,,,,,,det_1974,
56,COM00010.00,Refinery,2018,Liquid steel,,Coated steel products,154000,,,,,,,det_1974,
57,COM00010.00,Refinery,2018,Coking coal,,Coke,1180000,,,,,,,det_1974,
58,COM00010.00,Refinery,2018,Liquid steel,,Flat steel products,3446000,,,,,,,det_1974,
59,COM00010.00,Refinery,2018,Iron ore concentrate,,Iron ore pellets,4200000,,,,,,,det_1974,
60,COM00010.00,Refinery,2018,Liquid steel,,Other finished steel products,96000,,,,,,,det_1974,
61,COM00010.00,Refinery,2018,Liquid steel,,Structural steel profiles and non-flat steel products,183000,,,,,,,det_1974,
62,COM00010.00,Smelter,2018,Pig Iron,,Liquid steel,4520000,,,,,,,det_1974,
63,COM00010.00,Smelter,2018,Scrap Iron,,Liquid steel,577000,,,,,,,det_1974,
64,COM00010.00,Smelter,2018,Iron ore pellets,,Pig Iron,3510000,,,,,,,det_1974,
65,COM00019.00,Smelter,2005,Alumina,,Aluminium,446000,,,,,,,det_1377,
66,COM00019.00,Smelter,2006,Alumina,,Aluminium,456000,,,,,,,det_1377,
67,COM00019.00,Smelter,2007,Alumina,,Aluminium,455000,,,,,,,det_1377,
68,COM00022.00,Smelter,2008,,,Aluminium,424000,,,,,,,det_1325,
69,COM00022.00,Smelter,2009,,,Aluminium,435000,,,,,,,det_1325,
70,COM00022.00,Smelter,2010,,,Aluminium,434000,,,,,,,det_1326,
71,COM00022.00,Smelter,2011,,,Aluminium,434000,,,,,,,det_1077,
72,COM00022.00,Smelter,2012,,,Aluminium,208000,,,,,,,det_1077,
73,COM00022.00,Smelter,2013,,,Aluminium,440000,,,,,,,det_1075,
74,COM00022.00,Smelter,2014,,,Aluminium,455000,,,,,,,det_1075,
75,COM00022.00,Smelter,2015,,,Aluminium,466000,,,,,,,det_1075,
76,COM00022.00,Smelter,2016,,,Aluminium,467000,,,,,,,det_1074,
77,COM00022.00,Smelter,2017,,,Aluminium,457000,,,,,,,det_1074,
78,COM00022.00,Smelter,2018,,,Aluminium,465000,,,,,,,det_1074,
79,COM00023.00,Smelter,2008,,,Aluminium,572000,,,,,,,det_1325,
80,COM00023.00,Smelter,2009,,,Aluminium,573000,,,,,,,det_1325,
81,COM00023.00,Smelter,2010,,,Aluminium,569000,,,,,,,det_1326,
82,COM00023.00,Smelter,2011,,,Aluminium,582000,,,,,,,det_1326,
83,COM00023.00,Smelter,2012,,,Aluminium,593000,,,,,,,det_1326,
84,COM00023.00,Smelter,2013,,,Aluminium,582000,,,,,,,det_1075,
85,COM00023.00,Smelter,2014,,,Aluminium,583000,,,,,,,det_1075,
86,COM00023.00,Smelter,2015,,,Aluminium,606000,,,,,,,det_1075,
87,COM00023.00,Smelter,2016,,,Aluminium,609000,,,,,,,det_1074,
88,COM00023.00,Smelter,2017,,,Aluminium,598000,,,,,,,det_1074,
89,COM00023.00,Smelter,2018,,,Aluminium,584000,,,,,,,det_1074,
90,COM00025.00,Refinery,2008,Bauxite,,Alumina,1652307.6923076923,,,,,,,det_1789,
91,COM00025.00,Refinery,2009,Bauxite,,Alumina,227692.3076923077,,,,,,,det_1789,
92,COM00026.00,Smelter,2008,Alumina,,Primary aluminium,10588.235294117647,,,,,,,det_1789,
93,COM00026.00,Smelter,2009,Alumina,,Primary aluminium,12941.176470588236,,,,,,,det_1789,
94,COM00026.00,Smelter,2010,Alumina,,Primary aluminium,21176.470588235294,,,,,,,det_1852,
95,COM00026.00,Smelter,2011,Alumina,,Primary aluminium,17647.058823529413,,,,,,,det_1852,
96,COM00026.00,Smelter,2012,Alumina,,Primary aluminium,25882.352941176472,,,,,,,det_1801,
97,COM00026.00,Smelter,2013,Alumina,,Primary aluminium,2352.9411764705883,,,,,,,det_1801,
98,COM00029.00,Smelter,2008,,,Aluminium,91000,,,,,,,det_1325,
99,COM00029.00,Smelter,2009,,,Aluminium,73000,,,,,,,det_1325,
100,COM00029.00,Smelter,2010,,,Aluminium,76000,,,,,,,det_1326,
101,COM00029.00,Smelter,2011,,,Aluminium,69000,,,,,,,det_1077,
102,COM00029.00,Smelter,2012,,,Aluminium,52000,,,,,,,det_1077,
103,COM00029.00,Smelter,2013,,,Aluminium,75000,,,,,,,det_1075,
104,COM00029.00,Smelter,2014,,,Aluminium,93000,,,,,,,det_1075,
105,COM00030.00,Refinery,2008,,,Alumina,1504000,,,,,,,det_1325,
106,COM00030.00,Refinery,2009,,,Alumina,1657000,,,,,,,det_1325,
107,COM00030.00,Refinery,2010,,,Alumina,2507000,,,,,,,det_1326,
108,COM00030.00,Refinery,2011,,,Alumina,3385000,,,,,,,det_1077,
109,COM00030.00,Refinery,2012,,,Alumina,3409000,,,,,,,det_1077,
110,COM00030.00,Refinery,2013,,,Alumina,3425000,,,,,,,det_1075,the total production
111,COM00030.00,Refinery,2014,,,Alumina,3639000,,,,,,,det_1075,the total production
112,COM00030.00,Refinery,2015,,,Alumina,3667000,,,,,,,det_1075,the total production
113,COM00030.00,Refinery,2016,,,Alumina,3707000,,,,,,,det_1074,the total production
114,COM00030.00,Refinery,2017,,,Alumina,3697000,,,,,,,det_1074,the total production
115,COM00030.00,Refinery,2018,,,Alumina,3509000,,,,,,,det_1074,the total production
116,COM00032.00,Refinery,2011,Bauxite,,Alumina,5800000,,,,,,,det_1455,
117,COM00032.00,Refinery,2012,Bauxite,,Alumina,5800000,,,,,,,det_1454,
118,COM00032.00,Refinery,2013,Bauxite,,Alumina,5400000,,,,,,,det_1453,
119,COM00032.00,Refinery,2014,Bauxite,,Alumina,5900000,,,,,,,det_1452,
120,COM00032.00,Refinery,2015,Bauxite,,Alumina,6000000,,,,,,,det_1451,
121,COM00032.00,Refinery,2016,Bauxite,,Alumina,6300000,,,,,,,det_1450,
122,COM00032.00,Refinery,2017,Bauxite,,Alumina,6400000,,,,,,,det_1449,
123,COM00032.00,Refinery,2018,Bauxite,,Alumina,3700000,,,,,,,det_1448,
124,COM00032.00,Refinery,2019,Bauxite,,Alumina,4500000,,,,,,,det_1447,
125,COM00036.00,Refinery,2012,,,Metallurgical coke,260000,,,,,,April-March,det_1857,
126,COM00036.00,Smelter,2012,,,Pig iron,250000,,,,,,April-March,det_1857,
127,COM00036.00,Refinery,2013,,,Metallurgical coke,330000,,,,,,April-March,det_1857,
128,COM00036.00,Smelter,2013,,,Pig iron,310000,,,,,,April-March,det_1857,
129,COM00036.00,Refinery,2014,,,Metallurgical coke,410000,,,,,,April-March,det_1807,
130,COM00036.00,Smelter,2014,,,Pig iron,510000,,,,,,April-March,det_1807,
131,COM00036.00,Refinery,2015,,,Metallurgical coke,500000,,,,,,April-March,det_1807,
132,COM00036.00,Smelter,2015,,,Pig iron,610000,,,,,,April-March,det_1807,
