id,facility_id,facility_type,year,input,input_value_tonnes,output,output_value_tonnes,grade_ppm,recovery_rate,amount_sold_tonnes,metal_payable_tonnes,incl_purchased,reporting_period,source_id,comment
300,COM00076.00,Refinery,2014,Bauxite,,Alumina,1951000,,,,,,,det_1851,
301,COM00076.00,Refinery,2015,Bauxite,,Alumina,1983000,,,,,,,det_1851,
302,COM00076.00,Refinery,2016,Bauxite,,Alumina,1967000,,,,,,,det_1782,
303,COM00076.00,Refinery,2017,Bauxite,,Alumina,1937000,,,,,,,det_1782,
304,COM00076.00,Refinery,2018,Bauxite,,Alumina,1874000,,,,,,,det_1781,
305,COM00076.00,Refinery,2019,Bauxite,,Alumina,1893000,,,,,,,det_1781,
306,COM00078.00,Refinery,2008,,,Coke,3300000,,,,,,,det_1616,
307,COM00078.00,Refinery,2009,,,Coke,2400000,,,,,,,det_1616,
308,COM00078.00,Refinery,2010,,,Coke,3100000,,,,,,,det_1697,
309,COM00078.00,Refinery,2012,,,Coke,3665000,,,,,,,det_1695,
310,COM00078.00,Refinery,2013,,,Coke,3312000,,,,,,,det_1613,
311,COM00078.00,Refinery,2014,,,Coke,2319000,,,,,,,det_1613,
312,COM00078.00,Refinery,2015,,,Coke,1938000,,,,,,,det_1613,
313,COM00078.00,Refinery,2016,,,Coke,2348000,,,,,,,det_1611,
